Borough, Event Type, Count
Staten Island,Shooting Permit,866
Staten Island,DCAS Prep/Shoot/Wrap Permit,11
Staten Island,Rigging Permit,5
Staten Island,Theater Load in and Load Outs,1
Queens,Shooting Permit,9566
Queens,Rigging Permit,165
Queens,DCAS Prep/Shoot/Wrap Permit,72
Queens,Theater Load in and Load Outs,14
Manhattan,Shooting Permit,24905
Manhattan,Theater Load in and Load Outs,4711
Manhattan,Rigging Permit,939
Manhattan,DCAS Prep/Shoot/Wrap Permit,402
Brooklyn,Shooting Permit,17762
Brooklyn,Theater Load in and Load Outs,1040
Brooklyn,Rigging Permit,331
Brooklyn,DCAS Prep/Shoot/Wrap Permit,105
Bronx,Shooting Permit,1688
Bronx,DCAS Prep/Shoot/Wrap Permit,159
Bronx,Rigging Permit,34
Bronx,Theater Load in and Load Outs,8
