Borough, Number of Permits
11222,7277
11101,5698
10036,4176
10019,3971
10001,3169
10013,3001
10011,2767
11201,2517
10003,2461
10023,2402
10014,2017
10012,1977
11217,1923
10002,1912
11211,1765
11106,1583
11249,1568
10022,1352
10010,1246
11237,1191
10017,1174
11385,1164
10018,1154
10027,1064
10007,1041
11231,997
10016,965
10038,962
11205,949
10065,892
10121,882
11215,844
11206,780
10024,732
10020,714
10005,697
11238,687
11226,669
10021,667
10105,658
10025,655
10004,627
10031,619
10029,618
10009,608
10032,548
10454,547
11232,492
11218,454
11216,450
10028,426
11378,411
10075,406
10033,403
10128,398
10451,386
11105,383
10026,348
11225,329
11220,320
11415,292
11221,271
11102,257
11230,249
11207,242
10301,242
10035,223
11375,221
10474,212
11224,210
11104,209
11377,194
10006,187
11209,181
11363,173
11103,166
10452,165
10458,163
10030,162
11357,160
10304,157
10111,155
11418,151
10112,151
11233,145
10457,139
10044,139
10471,138
11109,134
10106,132
10309,131
10310,127
11210,127
11203,125
11435,124
00083,123
10282,123
10468,122
11235,122
10034,121
10040,120
11374,114
11213,110
11367,108
11379,107
10103,107
10456,107
11361,106
11421,106
11373,104
10280,102
11251,98
11432,96
10453,94
11694,92
11208,87
10314,85
11228,82
11368,81
10302,81
10039,80
10305,80
10306,79
11354,77
10463,76
11372,73
11234,73
11691,68
10152,64
10171,64
10037,62
11223,61
10119,60
10303,57
10464,56
10455,56
11359,54
11360,53
10045,53
11369,52
11212,51
10048,51
11229,50
11214,47
11693,46
10172,46
11356,44
11004,43
10307,43
11370,43
10470,41
11364,40
11355,38
10466,38
11219,36
11362,35
10041,35
10459,35
11358,34
10177,33
10465,33
10167,32
11692,32
10173,32
11241,32
10467,32
10461,31
11204,30
10281,30
10308,29
10462,28
11433,28
11427,27
11040,27
10165,26
10115,26
10312,26
11414,23
10460,23
10469,23
11365,22
11419,22
11366,21
11417,21
11416,21
10473,20
10278,20
10472,20
0,18
10069,18
10475,17
10154,17
10118,17
11236,16
11423,16
10110,15
11430,14
N/A,14
11434,13
11413,12
10170,12
11038,10
10175,10
11426,10
10271,9
10279,8
11436,8
10097,7
10174,7
10176,7
11412,7
10155,7
11420,7
10178,6
11695,6
10000,6
11001,5
10120,5
11239,4
11697,4
11422,4
11411,4
10158,4
11428,3
10129,3
11429,2
10080,1
10151,1
10162,1
10123,1
10153,1
